fda_drug,clean_drug,base_drug,UMLS_CUI,Preferred_Term,Preferred_TTY
novalgina,novalgina,novalgina,,,
novaminsulfon,novaminsulfon,novaminsulfon,,,
novamoxin,novamoxin,novamoxin,,,
novotrimel oral sus,novotrimel oral sus,novotrimel oral sus,,,
novopulmon,novopulmon,novopulmon,,,
novopulmon 200 novolizer,novopulmon 200 novolizer,novopulmon 200 novolizer,,,
novorapid,novorapid,novorapid,,,
nozinan,nozinan,nozinan,,,
nsulin nos,nsulin nos,nsulin nos,,,
numeta g13e preterm,numeta g13e preterm,numeta g13e preterm,,,
nurofen 00109201,nurofen 00109201,nurofen 00109201,,,
na phosphate,na phosphate,na,,,
na acetate,na acetate,na,,,
nebbud,nebbud,nebbud,,,
nebilet,nebilet,nebilet,,,
neominophagenc,neominophagenc,neominophagenc,,,
neomercazole,neomercazole,neomercazole,,,
nonpmn morphine sulfate,nonpmn morphine sulfate,nonpmn morphine,,,
non pmn methylphenidate hydrochloride,non pmn methylphenidate hydrochloride,non pmn methylphenidate,,,
non pmn morphine sulfate,non pmn morphine sulfate,non pmn morphine,,,
novorapid flexpen,novorapid flexpen,novorapid flexpen,,,
novopulmon,novopulmon,novopulmon,,,
novopulmon 200 novolizer,novopulmon 200 novolizer,novopulmon 200 novolizer,,,
novopulmon 400 novolizer,novopulmon 400 novolizer,novopulmon 400 novolizer,,,
octanate,octanate,octanate,,,
octanine f,octanine f,octanine f,,,
oe pediatrics,oe pediatrics,oe pediatrics,,,
oepediatric aguettant,oepediatric aguettant,oepediatric aguettant,,,
oflocet,oflocet,oflocet,,,
oflocet 00731801,oflocet 00731801,oflocet 00731801,,,
oflocet 15 mg05 ml solution auriculaire en r cipient unidose,oflocet 15 mg05 ml auriculaire en r cipient unidose,oflocet 15 mg05 ml auriculaire en r cipient unidose,,,
okt3,okt3,okt3,,,
olipudase alfarpcp,olipudase alfarpcp,olipudase alfarpcp,,,
omega 3,omega 3,omega 3,,,
omega3acid ethyl esters,omega3acid ethyl esters,omega3acid ethyl esters,,,
omeprazol 00661201,omeprazol 00661201,omeprazol 00661201,,,
omezol,omezol,omezol,,,
omnipaque,omnipaque,omnipaque,,,
omniscan,omniscan,omniscan,,,
oncovin,oncovin,oncovin,,,
onealfa,onealfa,onealfa,,,
onetaxotere,onetaxotere,onetaxotere,,,
op2455 omeprazole,op2455 omeprazole,op2455 omeprazole,,,
op2455 omeprazol formula magistral,op2455 omeprazol formula magistral,op2455 omeprazol formula magistral,,,
op2455omeprazole magistral formula,op2455omeprazole magistral formula,op2455omeprazole magistral formula,,,
opiat,opiat,opiat,,,
opioids,opioids,opioids,,,
optiject,optiject,optiject,,,
optiray,optiray,optiray,,,
optiray 320,optiray 320,optiray 320,,,
oracilline 00001805,oracilline 00001805,oracilline 00001805,,,
oracilline 1 000 000 ui10 ml suspension buvable phenoxymethylpenicillin,oracilline 1 000 000 ui10 ml buvable phenoxymethylpenicillin,oracilline 1 000 000 ui10 ml buvable phenoxymethylpenicillin,,,
orfiril,orfiril,orfiril,,,
orfiril long valproic acid unknown,orfiril long valproic acid unknown,orfiril long valproic acid unknown,,,
orgadrone,orgadrone,orgadrone,,,
orgalutran,orgalutran,orgalutran,,,
orocal,orocal,orocal,,,
oroken,oroken,oroken,,,
orona topotecan hydrochloride,orona topotecan hydrochloride,orona topotecan,,,
osona topotecan hydrochloride,osona topotecan hydrochloride,osona topotecan,,,
otriven,otriven,otriven,,,
otsuka potassium chloride,otsuka potassium chloride,otsuka chloride,,,
oubei,oubei,oubei,,,
ovitrelle,ovitrelle,ovitrelle,,,
oxigeno gaseoso medicinal,oxigeno gaseoso medicinal,oxigeno gaseoso medicinal,,,
oflocet,oflocet,oflocet,,,
oliclinomel,oliclinomel,oliclinomel,,,
oraxim,oraxim,oraxim,,,
orfiril,orfiril,orfiril,,,
orfiril long,orfiril long,orfiril long,,,
orfiril long retard,orfiril long retard,orfiril long retard,,,
ospolot,ospolot,ospolot,,,
palexia,palexia,palexia,,,
panodil,panodil,panodil,,,
pantoloc,pantoloc,pantoloc,,,
pantoprazol actavis,pantoprazol actavis,pantoprazol actavis,,,
pantozol,pantozol,pantozol,,,
paraaminosalicylic acid,paraaminosalicylic acid,paraaminosalicylic acid,,,
paracetamol manufacturer unknown,paracetamol manufacturer unknown,paracetamol manufacturer unknown,,,
paracetamol 120mg5ml oral suspension,paracetamol 120mg5ml oral,paracetamol 120mg5ml oral,,,
paracetamol kabi not specified,paracetamol kabi not specified,paracetamol kabi not specified,,,
parasinus,parasinus,parasinus,,,
parenteral calcium chloridepotassium chloridesodium acetatesodium chloride,parenteral calcium chloridepotassium chloridesodium acetatesodium chloride,parenteral chloridepotassium chloridesodium acetatesodium chloride,,,
parenteral nutrition with soluble lipids mfr unk,parenteral nutrition with soluble lipids mfr unk,parenteral nutrition with soluble lipids mfr unk,,,
parkinane lp,parkinane lp,parkinane lp,,,
paroxetin 00830801,paroxetin 00830801,paroxetin 00830801,,,
paspertin metoclopramide hydrochloride,paspertin metoclopramide hydrochloride,paspertin metoclopramide,,,
pcp 00013304,pcp 00013304,pcp 00013304,,,
peda ibuprofen solution for injection,peda ibuprofen for,peda ibuprofen for,,,
pediacel,pediacel,pediacel,,,
pediatric compound amino acid injection 18aa,pediatric compound amino acid 18aa,pediatric compound amino acid 18aa,,,
pediatric compound amino acid injection 18aai,pediatric compound amino acid 18aai,pediatric compound amino acid 18aai,,,
pediatric compound amino acids injection 19aai,pediatric compound amino acids 19aai,pediatric compound amino acids 19aai,,,
pediatric infuvite multiple vitamins,pediatric infuvite multiple vitamins,pediatric infuvite multiple vitamins,,,
pediaven ap hp nouveau ne 1,pediaven ap hp nouveau ne 1,pediaven ap hp nouveau ne 1,,,
pediaven g25,pediaven g25,pediaven g25,,,
peditrace,peditrace,peditrace,,,
peditus sandoz,peditus sandoz,peditus sandoz,,,
pegasparaginase,pegasparaginase,pegasparaginase,,,
peglasparaginase,peglasparaginase,peglasparaginase,,,
peglasparaginase,peglasparaginase,peglasparaginase,,,
pegl asparaginase,pegl asparaginase,pegl asparaginase,,,
peg l asparaginase,peg l asparaginase,peg l asparaginase,,,
peg l asparaginase,peg l asparaginase,peg l asparaginase,,,
pegasparaginase,pegasparaginase,pegasparaginase,,,
peginterferon unspecified,peginterferon unspecified,peginterferon unspecified,,,
pegylated asparaginase,pegylated asparaginase,pegylated asparaginase,,,
pegylated coagulation factor viii,pegylated coagulation factor viii,pegylated coagulation factor viii,,,
penehyclidine hydrochloride,penehyclidine hydrochloride,penehyclidine,,,
pentaglobin,pentaglobin,pentaglobin,,,
pentaxim,pentaxim,pentaxim,,,
pentrexyl,pentrexyl,pentrexyl,,,
perfalgan,perfalgan,perfalgan,,,
peritoneal dialysis solution lactate g25,peritoneal dialysis lactate g25,peritoneal dialysis lactate g25,,,
pethidinum,pethidinum,pethidinum,,,
pevonedistat,pevonedistat,pevonedistat,,,
phencyclidine,phencyclidine,phencyclidine,,,
phenhydan 00017403,phenhydan 00017403,phenhydan 00017403,,,
phenobal,phenobal,phenobal,,,
phenobarbital elixir 20mg5ml,phenobarbital elixir 20mg5ml,phenobarbital elixir 20mg5ml,,,
phenobarbitone,phenobarbitone,phenobarbitone,,,
phenoximethylpenicillinum,phenoximethylpenicillinum,phenoximethylpenicillinum,,,
phenylephrine hydrochloride wtropicamide,phenylephrine hydrochloride wtropicamide,phenylephrine wtropicamide,,,
phenytoin 00017402,phenytoin 00017402,phenytoin 00017402,,,
phenytynsod ext 100 mg capsule,phenytynsod ext 100 mg,phenytynsod ext 100 mg,,,
phocytan,phocytan,phocytan,,,
physioneal 40 glucose 136 solution pour dialyse p riton ale,physioneal 40 glucose 136 pour dialyse p riton ale,physioneal 40 glucose 136 pour dialyse p riton ale,,,
physioneal 40 glucose 136 wv 136 mgml,physioneal 40 glucose 136 wv 136 mgml,physioneal 40 glucose 136 wv 136 mgml,,,
physioneal 40 glucose 227 wv 227 mgml,physioneal 40 glucose 227 wv 227 mgml,physioneal 40 glucose 227 wv 227 mgml,,,
pivalone,pivalone,pivalone,,,
pivalone tixocortol pivalate,pivalone tixocortol pivalate,pivalone tixocortol pivalate,,,
pivalone tixocortol,pivalone tixocortol,pivalone tixocortol,,,
pivalone 1 pour cent suspension nasale,pivalone 1 pour cent nasale,pivalone 1 pour cent nasale,,,
plasmalyte 148 and dextrose,plasmalyte 148 and dextrose,plasmalyte 148 and dextrose,,,
plegisol,plegisol,plegisol,,,
plitican,plitican,plitican,,,
plitican solution injectable,plitican injectable,plitican injectable,,,
pneumococcal conjugate vaccine,pneumococcal conjugate vaccine,pneumococcal conjugate vaccine,,,
pneumococcal vaccine polyvalent nos,pneumococcal vaccine polyvalent nos,pneumococcal vaccine polyvalent nos,,,
poliomyelitis vaccine nos,poliomyelitis vaccine nos,poliomyelitis vaccine nos,,,
poly b sulfatetrimethoprim,poly b sulfatetrimethoprim,poly b sulfatetrimethoprim,,,
polydexa,polydexa,polydexa,,,
polyglobin,polyglobin,polyglobin,,,
polymixinb,polymixinb,polymixinb,,,
polymyxin b manufacturer unknown,polymyxin b manufacturer unknown,polymyxin b manufacturer unknown,,,
polymyxin band trimethoprim,polymyxin band trimethoprim,polymyxin band trimethoprim,,,
polymyxintrimethoprim unk,polymyxintrimethoprim unk,polymyxintrimethoprim unk,,,
polyvitamin with iron,polyvitamin with iron,polyvitamin with iron,,,
potassium phosphate 136 manufacturer unknown,potassium phosphate 136 manufacturer unknown,136 manufacturer unknown,,,
pre trial therapy,pre trial therapy,pre trial therapy,,,
prednefrin forte,prednefrin forte,prednefrin forte,,,
prednisolona,prednisolona,prednisolona,,,
predonine,predonine,predonine,,,
pregabaline capsule 150mg brand name not specified,pregabaline 150mg brand name not specified,pregabaline 150mg brand name not specified,,,
premasol sulfitefree amino acid,premasol sulfitefree amino acid,premasol sulfitefree amino acid,,,
prenatal vitamin,prenatal vitamin,prenatal vitamin,,,
prenatal vitamins,prenatal vitamins,prenatal vitamins,,,
prenatal vitamins 02014401,prenatal vitamins 02014401,prenatal vitamins 02014401,,,
prenatal vitamins 07499601,prenatal vitamins 07499601,prenatal vitamins 07499601,,,
prenatal vitamins 07499601,prenatal vitamins 07499601,prenatal vitamins 07499601,,,
presinol,presinol,presinol,,,
prevacid solutab,prevacid solutab,prevacid solutab,,,
prevenar,prevenar,prevenar,,,
prezistanaive,prezistanaive,prezistanaive,,,
priadel 00033702,priadel 00033702,priadel 00033702,,,
prim ne 10,prim ne 10,prim ne 10,,,
primalan,primalan,primalan,,,
primene,primene,primene,,,
primene 10 solution injectable pour perfusion,primene 10 injectable pour perfusion,primene 10 injectable pour perfusion,,,
procoralan,procoralan,procoralan,,,
procytox,procytox,procytox,,,
procytox cyclophosphamide 2000mgvial,procytox cyclophosphamide 2000mgvial,procytox cyclophosphamide 2000mgvial,,,
procytox 2000mgvial,procytox 2000mgvial,procytox 2000mgvial,,,
procytox 2000mgvial,procytox 2000mgvial,procytox 2000mgvial,,,
prodilantin,prodilantin,prodilantin,,,
progestan,progestan,progestan,,,
proglycem 50 mgml,proglycem 50 mgml,proglycem 50 mgml,,,
prograf tacrolimus,prograf tacrolimus,prograf tacrolimus,,,
prohippur,prohippur,prohippur,,,
propanolol hydrochloride,propanolol hydrochloride,propanolol,,,
propess,propess,propess,,,
propess dinoprostone vaginal delivery system,propess dinoprostone vaginal delivery system,propess dinoprostone vaginal delivery system,,,
propofol manufacturer unknown propofol propofol,propofol manufacturer unknown propofol propofol,propofol manufacturer unknown propofol propofol,,,
propofol manufacturer unknown,propofol manufacturer unknown,propofol manufacturer unknown,,,
propofol lipuro,propofol lipuro,propofol lipuro,,,
propofol norameda,propofol norameda,propofol norameda,,,
propranolol propranolol,propranolol propranolol,propranolol propranolol,,,
propranolol hydrochloride manufacturer unknown propranolol hydrochloride,propranolol hydrochloride manufacturer unknown propranolol hydrochloride,propranolol manufacturer unknown propranolol,,,
propranolol hydrochloride propranolol hydrochloride propranolol hydrochloride,propranolol hydrochloride propranolol hydrochloride propranolol hydrochloride,propranolol propranolol propranolol,,,
propranolol hydrochloride propranolol hydrochloride propranolol hydrochloride,propranolol hydrochloride propranolol hydrochloride propranolol hydrochloride,propranolol propranolol propranolol,,,
propranolol hydrochloride manufacturer unknown,propranolol hydrochloride manufacturer unknown,propranolol manufacturer unknown,,,
propranolol hydrochloride tablets usp,propranolol hydrochloride usp,propranolol usp,,,
prostaglandin e1,prostaglandin e1,prostaglandin e1,,,
prostavasin,prostavasin,prostavasin,,,
prostin,prostin,prostin,,,
protaphane,protaphane,protaphane,,,
prothrombin complex concentrate nos,prothrombin complex concentrate nos,prothrombin complex concentrate nos,,,
prozac weekly,prozac weekly,prozac weekly,,,
palladon retard,palladon retard,palladon retard,,,
paracetamol unknown,paracetamol unknown,paracetamol unknown,,,
paracetamol powder for oral solution,paracetamol powder for oral,paracetamol powder for oral,,,
paracetamol oral solution,paracetamol oral,paracetamol oral,,,
paracetamolo,paracetamolo,paracetamolo,,,
pegylated asparaginase,pegylated asparaginase,pegylated asparaginase,,,
pegylated liposomal irinotecan,pegylated liposomal irinotecan,pegylated liposomal irinotecan,,,
pentasa xtend,pentasa xtend,pentasa xtend,,,
pharmorubicin,pharmorubicin,pharmorubicin,,,
plitican,plitican,plitican,,,
pneumococcal conjugate vaccine,pneumococcal conjugate vaccine,pneumococcal conjugate vaccine,,,
podomexef,podomexef,podomexef,,,
polymyxin b for injection usp,polymyxin b for usp,polymyxin b for usp,,,
premasol 6,premasol 6,premasol 6,,,
prenatal vitamin,prenatal vitamin,prenatal vitamin,,,
prenatal vitamins,prenatal vitamins,prenatal vitamins,,,
presinol,presinol,presinol,,,
procoralan,procoralan,procoralan,,,
procytox,procytox,procytox,,,
prodilantin,prodilantin,prodilantin,,,
prolutex 25 mg injektionslosung,prolutex 25 mg injektionslosung,prolutex 25 mg injektionslosung,,,
propofol injectable emulsion,propofol injectable emulsion,propofol injectable emulsion,,,
propranolol watson laboratories,propranolol watson laboratories,propranolol watson laboratories,,,
propylthiouracil unknown,propylthiouracil unknown,propylthiouracil unknown,,,
prostine e2,prostine e2,prostine e2,,,
prostine vr,prostine vr,prostine vr,,,
protaphane flexpen,protaphane flexpen,protaphane flexpen,,,
qarziba,qarziba,qarziba,,,
qi hong,qi hong,qi hong,,,
qixian,qixian,qixian,,,
qti571,qti571,qti571,,,
quensyl,quensyl,quensyl,,,
quetiapin retard,quetiapin retard,quetiapin retard,,,
quetiapin retard sandoz,quetiapin retard sandoz,quetiapin retard sandoz,,,
quetiapin hexal,quetiapin hexal,quetiapin hexal,,,
quetiapina 1136a,quetiapina 1136a,quetiapina 1136a,,,
quilonorm 00033702,quilonorm 00033702,quilonorm 00033702,,,
quilonum,quilonum,quilonum,,,
quilonum lithium carbonate,quilonum lithium carbonate,quilonum lithium carbonate,,,
quilonum retard,quilonum retard,quilonum retard,,,
qlaira filmtabletten,qlaira filmtabletten,qlaira filmtabletten,,,
quensyl,quensyl,quensyl,,,
quetiapin aurobindo,quetiapin aurobindo,quetiapin aurobindo,,,
quetiapin ret,quetiapin ret,quetiapin ret,,,
quetiapin retard,quetiapin retard,quetiapin retard,,,
quilonum,quilonum,quilonum,,,
quilonum retard,quilonum retard,quilonum retard,,,
rgene,rgene,rgene,,,
rabies vaccine nos,rabies vaccine nos,rabies vaccine nos,,,
rad001o,rad001o,rad001o,,,
radiotherapy,radiotherapy,radiotherapy,,,
ranitidina 2a,ranitidina 2a,ranitidina 2a,,,
rapifen alfentanil hydrochloride,rapifen alfentanil hydrochloride,rapifen alfentanil,,,
rapifen ibuprofen,rapifen ibuprofen,rapifen ibuprofen,,,
ratg,ratg,ratg,,,
recombinant human thrombopoietin,recombinant human thrombopoietin,recombinant human thrombopoietin,,,
rectodelt,rectodelt,rectodelt,,,
reguneal lca,reguneal lca,reguneal lca,,,
remergil,remergil,remergil,,,
rennie,rennie,rennie,,,
repevax,repevax,repevax,,,
respia,respia,respia,,,
revellex,revellex,revellex,,,
revolade,revolade,revolade,,,
revolade tab,revolade,revolade,,,
rfixfc,rfixfc,rfixfc,,,
rhumabe25,rhumabe25,rhumabe25,,,
rifinah,rifinah,rifinah,,,
risperidon hexal,risperidon hexal,risperidon hexal,,,
ritolop,ritolop,ritolop,,,
roactemra,roactemra,roactemra,,,
rocefin,rocefin,rocefin,,,
rohypnol,rohypnol,rohypnol,,,
rovalcyte,rovalcyte,rovalcyte,,,
roztw r glukozy 5 baxter,roztw r glukozy 5 baxter,roztw r glukozy 5 baxter,,,
rsv chad155 vaccine 5x10e10 vp,rsv chad155 vaccine 5x10e10 vp,rsv chad155 vaccine 5x10e10 vp,,,
rulid,rulid,rulid,,,
rupatadine,rupatadine,rupatadine,,,
rapalimus,rapalimus,rapalimus,,,
regpara,regpara,regpara,,,
revestive,revestive,revestive,,,
revinty ellipta,revinty ellipta,revinty ellipta,,,
revolade,revolade,revolade,,,
rinderon,rinderon,rinderon,,,
risperidon hexal,risperidon hexal,risperidon hexal,,,
roactemra,roactemra,roactemra,,,
rocefin,rocefin,rocefin,,,
sabril for oral solution sabril vigabatrin 500 mg powder for oral solution,sabril for oral sabril vigabatrin 500 mg powder for oral,sabril for oral sabril vigabatrin 500 mg powder for oral,,,
sabril for oral solution sabril vigabatrin powder for oral solution,sabril for oral sabril vigabatrin powder for oral,sabril for oral sabril vigabatrin powder for oral,,,
sai de sa cytarabine,sai de sa cytarabine,sai de sa cytarabine,,,
saidesa cytarabine,saidesa cytarabine,saidesa cytarabine,,,
salbutamol,salbutamol,salbutamol,,,
salbutamol sandoz,salbutamol sandoz,salbutamol sandoz,,,
saline oral otc,saline oral otc,saline oral otc,,,
sandimmun infusion,sandimmun infusion,sandimmun infusion,,,
sandimmun neoral,sandimmun neoral,sandimmun neoral,,,
sandimmun optoral,sandimmun optoral,sandimmun optoral,,,
sandoglobulin,sandoglobulin,sandoglobulin,,,
schein private label liodocaine 100 epinephrine bitartratelidocaine hydrochloride,schein private label liodocaine 100 epinephrine bitartratelidocaine hydrochloride,schein private label liodocaine 100 epinephrine bitartratelidocaine,,,
