L1,L2,L3,L4,atc_code,CUI
S  SENSORY ORGANS,S02  OTOLOGICALS,S02A  ANTIINFECTIVES,S02AA  Antiinfectives,S02AA01,C0008168
D  DERMATOLOGICALS,D10  ANTI-ACNE PREPARATIONS,D10A  ANTI-ACNE PREPARATIONS FOR TOPICAL USE,D10AF  Antiinfectives for treatment of acne,D10AF03,C0008168
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01A  ANTIINFECTIVES,S01AA  Antibiotics,S01AA01,C0008168
G  GENITO URINARY SYSTEM AND SEX HORMONES,G01  GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"G01A  ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AA  Antibiotics,G01AA05,C0008168
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01B  AMPHENICOLS,J01BA  Amphenicols,J01BA01,C0008168
S  SENSORY ORGANS,S03  OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS,S03A  ANTIINFECTIVES,S03AA  Antiinfectives,S03AA08,C0008168
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01D  OTHER BETA-LACTAM ANTIBACTERIALS,J01DC  Second-generation cephalosporins,J01DC08,C0065295
A  ALIMENTARY TRACT AND METABOLISM,A02  DRUGS FOR ACID RELATED DISORDERS,A02B  DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BC  Proton pump inhibitors,A02BC03,C0050940
A  ALIMENTARY TRACT AND METABOLISM,A02  DRUGS FOR ACID RELATED DISORDERS,A02B  DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BD  Combinations for eradication of Helicobacter pylori,A02BD02,C0050940
A  ALIMENTARY TRACT AND METABOLISM,A02  DRUGS FOR ACID RELATED DISORDERS,A02B  DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BD  Combinations for eradication of Helicobacter pylori,A02BD07,C0050940
A  ALIMENTARY TRACT AND METABOLISM,A02  DRUGS FOR ACID RELATED DISORDERS,A02B  DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BD  Combinations for eradication of Helicobacter pylori,A02BD09,C0050940
A  ALIMENTARY TRACT AND METABOLISM,A02  DRUGS FOR ACID RELATED DISORDERS,A02B  DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BD  Combinations for eradication of Helicobacter pylori,A02BD10,C0050940
A  ALIMENTARY TRACT AND METABOLISM,A02  DRUGS FOR ACID RELATED DISORDERS,A02B  DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BD  Combinations for eradication of Helicobacter pylori,A02BD03,C0050940
A  ALIMENTARY TRACT AND METABOLISM,A02  DRUGS FOR ACID RELATED DISORDERS,A02B  DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BC  Proton pump inhibitors,A02BC53,C0050940
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01E  ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01EA  Sympathomimetics in glaucoma therapy,S01EA02,C0058415
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05A  ANTIPSYCHOTICS,N05AD  Butyrophenone derivatives,N05AD08,C0013136
"H  SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H03  THYROID THERAPY,H03A  THYROID PREPARATIONS,H03AA  Thyroid hormones,H03AA01,C0040165
"H  SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H03  THYROID THERAPY,H03A  THYROID PREPARATIONS,H03AA  Thyroid hormones,H03AA51,C0040165
D  DERMATOLOGICALS,D09  MEDICATED DRESSINGS,D09A  MEDICATED DRESSINGS,D09AA  Medicated dressings with antiinfectives,D09AA01,C0016673
R  RESPIRATORY SYSTEM,R01  NASAL PREPARATIONS,R01A  DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AX  Other nasal preparations,R01AX08,C0016673
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01A  ANTIINFECTIVES,S01AA  Antibiotics,S01AA07,C0016673
N  NERVOUS SYSTEM,N02  ANALGESICS,N02A  OPIOIDS,N02AB  Phenylpiperidine derivatives,N02AB02,C0025376
N  NERVOUS SYSTEM,N02  ANALGESICS,N02A  OPIOIDS,N02AB  Phenylpiperidine derivatives,N02AB72,C0025376
N  NERVOUS SYSTEM,N02  ANALGESICS,N02A  OPIOIDS,N02AB  Phenylpiperidine derivatives,N02AB52,C0025376
N  NERVOUS SYSTEM,N02  ANALGESICS,N02A  OPIOIDS,N02AG  Opioids in combination with antispasmodics,N02AG03,C0025376
R  RESPIRATORY SYSTEM,R06  ANTIHISTAMINES FOR SYSTEMIC USE,R06A  ANTIHISTAMINES FOR SYSTEMIC USE,R06AX  Other antihistamines for systemic use,R06AX13,C0065180
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01D  OTHER BETA-LACTAM ANTIBACTERIALS,J01DB  First-generation cephalosporins,J01DB03,C0007735
C  CARDIOVASCULAR SYSTEM,C02  ANTIHYPERTENSIVES,C02L  ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,C02LE  Alpha-adrenoreceptor antagonists and diuretics,C02LE01,C0032912
C  CARDIOVASCULAR SYSTEM,C02  ANTIHYPERTENSIVES,"C02C  ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",C02CA  Alpha-adrenoreceptor antagonists,C02CA01,C0032912
N  NERVOUS SYSTEM,N06  PSYCHOANALEPTICS,N06A  ANTIDEPRESSANTS,N06AA  Non-selective monoamine reuptake inhibitors,N06AA02,C0020934
D  DERMATOLOGICALS,D05  ANTIPSORIATICS,D05B  ANTIPSORIATICS FOR SYSTEMIC USE,D05BB  Retinoids for treatment of psoriasis,D05BB02,C0050559
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01L  OCULAR VASCULAR DISORDER AGENTS,S01LA  Antineovascularisation agents,S01LA01,C0387288
M  MUSCULO-SKELETAL SYSTEM,M01  ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"M01A  ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS","M01AX  Other antiinflammatory and antirheumatic agents, non-steroids",M01AX01,C0068334
N  NERVOUS SYSTEM,N03  ANTIEPILEPTICS,N03A  ANTIEPILEPTICS,N03AA  Barbiturates and derivatives,N03AA30,C0025629
C  CARDIOVASCULAR SYSTEM,C05  VASOPROTECTIVES,C05B  ANTIVARICOSE THERAPY,C05BB  Sclerosing agents for local injection,C05BB04,C0037556
M  MUSCULO-SKELETAL SYSTEM,M01  ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"M01A  ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB  Acetic acid derivatives and related substances,M01AB15,C0073631
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01F  MYDRIATICS AND CYCLOPLEGICS,S01FB  Sympathomimetics excl. antiglaucoma preparations,S01FB51,C0073631
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01B  ANTIINFLAMMATORY AGENTS,"S01BC  Antiinflammatory agents, non-steroids",S01BC05,C0073631
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01M  QUINOLONE ANTIBACTERIALS,J01MA  Fluoroquinolones,J01MA04,C0014310
M  MUSCULO-SKELETAL SYSTEM,M09  OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,M09A  OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,M09AA  Quinine and derivatives,M09AA72,C0034417
"P  ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01  ANTIPROTOZOALS,P01B  ANTIMALARIALS,P01BC  Methanolquinolines,P01BC01,C0034417
M  MUSCULO-SKELETAL SYSTEM,M01  ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"M01A  ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AC  Oxicams,M01AC02,C0076096
A  ALIMENTARY TRACT AND METABOLISM,A04  ANTIEMETICS AND ANTINAUSEANTS,A04A  ANTIEMETICS AND ANTINAUSEANTS,A04AD  Other antiemetics,A04AD10,C0039663
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D  OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03DC  Leukotriene receptor antagonists,R03DC03,C0298130
R  RESPIRATORY SYSTEM,R03  DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D  OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03DC  Leukotriene receptor antagonists,R03DC53,C0298130
N  NERVOUS SYSTEM,N06  PSYCHOANALEPTICS,N06C  PSYCHOLEPTICS AND PSYCHOANALEPTICS IN COMBINATION,N06CA  Antidepressants in combination with psycholeptics,N06CA03,C0016365
N  NERVOUS SYSTEM,N06  PSYCHOANALEPTICS,N06A  ANTIDEPRESSANTS,N06AB  Selective serotonin reuptake inhibitors,N06AB03,C0016365
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05C  HYPNOTICS AND SEDATIVES,"N05CB  Barbiturates, combinations",N05CB01,C0025668
N  NERVOUS SYSTEM,N01  ANESTHETICS,"N01A  ANESTHETICS, GENERAL","N01AF  Barbiturates, plain",N01AF01,C0025668
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05C  HYPNOTICS AND SEDATIVES,"N05CA  Barbiturates, plain",N05CA15,C0025668
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05B  ANXIOLYTICS,N05BA  Benzodiazepine derivatives,N05BA02,C0008188
N  NERVOUS SYSTEM,N06  PSYCHOANALEPTICS,N06A  ANTIDEPRESSANTS,N06AX  Other antidepressants,N06AX21,C0245561
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05A  ANTIPSYCHOTICS,N05AA  Phenothiazines with aliphatic side-chain,N05AA01,C0008286
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,J05AC  Cyclic amines,J05AC02,C0035629
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01A  ANTIINFECTIVES,S01AA  Antibiotics,S01AA21,C0002499
D  DERMATOLOGICALS,D06  ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,D06A  ANTIBIOTICS FOR TOPICAL USE,D06AX  Other antibiotics for topical use,D06AX12,C0002499
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01G  AMINOGLYCOSIDE ANTIBACTERIALS,J01GB  Other aminoglycosides,J01GB06,C0002499
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01R  COMBINATIONS OF ANTIBACTERIALS,J01RA  Combinations of antibacterials,J01RA06,C0002499
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04  IMMUNOSUPPRESSANTS,L04A  IMMUNOSUPPRESSANTS,L04AX  Other immunosuppressants,L04AX04,C1144149
G  GENITO URINARY SYSTEM AND SEX HORMONES,G03  SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03X  OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03XC  Selective estrogen receptor modulators,G03XC01,C0244404
N  NERVOUS SYSTEM,N02  ANALGESICS,N02A  OPIOIDS,N02AJ  Opioids in combination with non-opioid analgesics,N02AJ16,C0538927
M  MUSCULO-SKELETAL SYSTEM,M01  ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"M01A  ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AH  Coxibs,M01AH01,C0538927
G  GENITO URINARY SYSTEM AND SEX HORMONES,G01  GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"G01A  ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AE  Sulfonamides,G01AE10,C0538927
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01X  OTHER ANTINEOPLASTIC AGENTS,L01XX  Other antineoplastic agents,L01XX33,C0538927
C  CARDIOVASCULAR SYSTEM,C08  CALCIUM CHANNEL BLOCKERS,C08C  SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08CA  Dihydropyridine derivatives,C08CA51,C0538927
D  DERMATOLOGICALS,D11  OTHER DERMATOLOGICAL PREPARATIONS,D11A  OTHER DERMATOLOGICAL PREPARATIONS,D11AX  Other dermatologicals,D11AX21,C0525227
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01G  DECONGESTANTS AND ANTIALLERGICS,S01GA  Sympathomimetics used as decongestants,S01GA07,C0525227
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01E  ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01EA  Sympathomimetics in glaucoma therapy,S01EA05,C0525227
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,"J01C  BETA-LACTAM ANTIBACTERIALS, PENICILLINS","J01CR  Combinations of penicillins, incl. beta-lactamase inhibitors",J01CR50,C0012093
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,"J01C  BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01CF  Beta-lactamase resistant penicillins,J01CF01,C0012093
A  ALIMENTARY TRACT AND METABOLISM,A04  ANTIEMETICS AND ANTINAUSEANTS,A04A  ANTIEMETICS AND ANTINAUSEANTS,A04AD  Other antiemetics,A04AD11,C0068333
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01M  QUINOLONE ANTIBACTERIALS,J01MA  Fluoroquinolones,J01MA03,C0030771
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01X  OTHER ANTINEOPLASTIC AGENTS,L01XX  Other antineoplastic agents,L01XX03,C0019453
C  CARDIOVASCULAR SYSTEM,C07  BETA BLOCKING AGENTS,C07A  BETA BLOCKING AGENTS,"C07AA  Beta blocking agents, non-selective",C07AA07,C0037707
C  CARDIOVASCULAR SYSTEM,C07  BETA BLOCKING AGENTS,C07B  BETA BLOCKING AGENTS AND THIAZIDES,"C07BA  Beta blocking agents, non-selective, and thiazides",C07BA07,C0037707
C  CARDIOVASCULAR SYSTEM,C07  BETA BLOCKING AGENTS,"C07F  BETA BLOCKING AGENTS, OTHER COMBINATIONS","C07FX  Beta blocking agents, other combinations",C07FX02,C0037707
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05B  ANXIOLYTICS,N05BE  Azaspirodecanedione derivatives,N05BE01,C0006462
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,"A10B  BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10BF  Alpha glucosidase inhibitors,A10BF02,C0066535
C  CARDIOVASCULAR SYSTEM,C09  AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"C09B  ACE INHIBITORS, COMBINATIONS",C09BA  ACE inhibitors and diuretics,C09BA09,C0118168
C  CARDIOVASCULAR SYSTEM,C09  AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"C09A  ACE INHIBITORS, PLAIN","C09AA  ACE inhibitors, plain",C09AA09,C0118168
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01D  OTHER BETA-LACTAM ANTIBACTERIALS,J01DD  Third-generation cephalosporins,J01DD01,C0007554
N  NERVOUS SYSTEM,N04  ANTI-PARKINSON DRUGS,N04B  DOPAMINERGIC AGENTS,N04BX  Other dopaminergic agents,N04BX02,C0165921
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,"J05AR  Antivirals for treatment of HIV infections, combinations",J05AR04,C0043474
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,J05AF  Nucleoside and nucleotide reverse transcriptase inhibitors,J05AF01,C0043474
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,"J05AR  Antivirals for treatment of HIV infections, combinations",J05AR05,C0043474
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,"J05AR  Antivirals for treatment of HIV infections, combinations",J05AR01,C0043474
G  GENITO URINARY SYSTEM AND SEX HORMONES,G04  UROLOGICALS,G04B  UROLOGICALS,G04BD  Drugs for urinary frequency and incontinence,G04BD10,C0529351
N  NERVOUS SYSTEM,N02  ANALGESICS,N02A  OPIOIDS,N02AA  Natural opium alkaloids,N02AA56,C0030049
N  NERVOUS SYSTEM,N02  ANALGESICS,N02A  OPIOIDS,N02AA  Natural opium alkaloids,N02AA05,C0030049
N  NERVOUS SYSTEM,N02  ANALGESICS,N02A  OPIOIDS,N02AA  Natural opium alkaloids,N02AA55,C0030049
N  NERVOUS SYSTEM,N02  ANALGESICS,N02A  OPIOIDS,N02AJ  Opioids in combination with non-opioid analgesics,N02AJ18,C0030049
N  NERVOUS SYSTEM,N02  ANALGESICS,N02A  OPIOIDS,N02AJ  Opioids in combination with non-opioid analgesics,N02AJ17,C0030049
N  NERVOUS SYSTEM,N02  ANALGESICS,N02A  OPIOIDS,N02AJ  Opioids in combination with non-opioid analgesics,N02AJ19,C0030049
B  BLOOD AND BLOOD FORMING ORGANS,B01  ANTITHROMBOTIC AGENTS,B01A  ANTITHROMBOTIC AGENTS,B01AA  Vitamin K antagonists,B01AA02,C0031406
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L02  ENDOCRINE THERAPY,L02B  HORMONE ANTAGONISTS AND RELATED AGENTS,L02BB  Anti-androgens,L02BB01,C0016384
M  MUSCULO-SKELETAL SYSTEM,M01  ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"M01A  ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB  Acetic acid derivatives and related substances,M01AB03,C0040377
M  MUSCULO-SKELETAL SYSTEM,M02  TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,M02A  TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,"M02AA  Antiinflammatory preparations, non-steroids for topical use",M02AA21,C0040377
A  ALIMENTARY TRACT AND METABOLISM,A02  DRUGS FOR ACID RELATED DISORDERS,A02B  DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BA  H2-receptor antagonists,A02BA51,C0008783
A  ALIMENTARY TRACT AND METABOLISM,A02  DRUGS FOR ACID RELATED DISORDERS,A02B  DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BA  H2-receptor antagonists,A02BA01,C0008783
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05A  ANTIPSYCHOTICS,N05AD  Butyrophenone derivatives,N05AD01,C0018546
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,J05AP  Antivirals for treatment of HCV infections,J05AP53,C0292818
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,"J05AR  Antivirals for treatment of HIV infections, combinations",J05AR10,C0292818
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,J05AE  Protease inhibitors,J05AE30,C0292818
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,J05AE  Protease inhibitors,J05AE03,C0292818
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,"J05AR  Antivirals for treatment of HIV infections, combinations",J05AR23,C0292818
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,"J05AR  Antivirals for treatment of HIV infections, combinations",J05AR26,C0292818
J  ANTIINFECTIVES FOR SYSTEMIC USE,J05  ANTIVIRALS FOR SYSTEMIC USE,J05A  DIRECT ACTING ANTIVIRALS,J05AP  Antivirals for treatment of HCV infections,J05AP52,C0292818
A  ALIMENTARY TRACT AND METABOLISM,A03  DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A  DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"A03AB  Synthetic anticholinergics, quaternary ammonium compounds",A03AB08,C0077081
"P  ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01  ANTIPROTOZOALS,P01A  AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,P01AX  Other agents against amoebiasis and other protozoal diseases,P01AX11,C0068788
N  NERVOUS SYSTEM,N05  PSYCHOLEPTICS,N05A  ANTIPSYCHOTICS,N05AA  Phenothiazines with aliphatic side-chain,N05AA05,C0040989
C  CARDIOVASCULAR SYSTEM,C10  LIPID MODIFYING AGENTS,"C10A  LIPID MODIFYING AGENTS, PLAIN",C10AX  Other lipid modifying agents,C10AX01,C0011824
C  CARDIOVASCULAR SYSTEM,C01  CARDIAC THERAPY,C01A  CARDIAC GLYCOSIDES,C01AA  Digitalis glycosides,C01AA01,C0520442
J  ANTIINFECTIVES FOR SYSTEMIC USE,J01  ANTIBACTERIALS FOR SYSTEMIC USE,J01X  OTHER ANTIBACTERIALS,J01XA  Glycopeptide antibacterials,J01XA01,C0042313
A  ALIMENTARY TRACT AND METABOLISM,"A07  ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07A  INTESTINAL ANTIINFECTIVES,A07AA  Antibiotics,A07AA09,C0042313
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01A  ANTIINFECTIVES,S01AA  Antibiotics,S01AA28,C0042313
B  BLOOD AND BLOOD FORMING ORGANS,B02  ANTIHEMORRHAGICS,B02A  ANTIFIBRINOLYTICS,B02AA  Amino acids,B02AA01,C0000608
R  RESPIRATORY SYSTEM,R05  COUGH AND COLD PREPARATIONS,"R05D  COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",R05DA  Opium alkaloids and derivatives,R05DA09,C0011816
N  NERVOUS SYSTEM,N07  OTHER NERVOUS SYSTEM DRUGS,N07X  OTHER NERVOUS SYSTEM DRUGS,N07XX  Other nervous system drugs,N07XX59,C0011816
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01X  OTHER ANTINEOPLASTIC AGENTS,L01XA  Platinum compounds,L01XA01,C0008838
"P  ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P02  ANTHELMINTICS,P02C  ANTINEMATODAL AGENTS,P02CA  Benzimidazole derivatives,P02CA03,C0001911
C  CARDIOVASCULAR SYSTEM,C09  AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"C09A  ACE INHIBITORS, PLAIN","C09AA  ACE inhibitors, plain",C09AA10,C0076891
C  CARDIOVASCULAR SYSTEM,C09  AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"C09B  ACE INHIBITORS, COMBINATIONS",C09BB  ACE inhibitors and calcium channel blockers,C09BB10,C0076891
J  ANTIINFECTIVES FOR SYSTEMIC USE,J02  ANTIMYCOTICS FOR SYSTEMIC USE,J02A  ANTIMYCOTICS FOR SYSTEMIC USE,J02AX  Other antimycotics for systemic use,J02AX04,C0537894
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01E  ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01ED  Beta blocking agents,S01ED55,C0007299
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01E  ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01ED  Beta blocking agents,S01ED05,C0007299
C  CARDIOVASCULAR SYSTEM,C07  BETA BLOCKING AGENTS,C07A  BETA BLOCKING AGENTS,"C07AA  Beta blocking agents, non-selective",C07AA15,C0007299
V  VARIOUS,V04  DIAGNOSTIC AGENTS,V04C  OTHER DIAGNOSTIC AGENTS,V04CK  Tests for pancreatic function,V04CK03,C0053122
C  CARDIOVASCULAR SYSTEM,C03  DIURETICS,C03E  DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION,C03EA  Low-ceiling diuretics and potassium-sparing agents,C03EA12,C0025854
G  GENITO URINARY SYSTEM AND SEX HORMONES,G01  GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"G01A  ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AE  Sulfonamides,G01AE10,C0025854
C  CARDIOVASCULAR SYSTEM,C03  DIURETICS,"C03B  LOW-CEILING DIURETICS, EXCL. THIAZIDES","C03BA  Sulfonamides, plain",C03BA08,C0025854
D  DERMATOLOGICALS,D01  ANTIFUNGALS FOR DERMATOLOGICAL USE,D01A  ANTIFUNGALS FOR TOPICAL USE,D01AE  Other antifungals for topical use,D01AE18,C0040379
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01X  OTHER ANTINEOPLASTIC AGENTS,L01XA  Platinum compounds,L01XA03,C0069717
D  DERMATOLOGICALS,"D04  ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","D04A  ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",D04AB  Anesthetics for topical use,D04AB02,C0012050
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01H  LOCAL ANESTHETICS,S01HA  Local anesthetics,S01HA06,C0012050
S  SENSORY ORGANS,S02  OTOLOGICALS,S02D  OTHER OTOLOGICALS,S02DA  Analgesics and anesthetics,S02DA04,C0012050
N  NERVOUS SYSTEM,N01  ANESTHETICS,"N01B  ANESTHETICS, LOCAL",N01BB  Amides,N01BB06,C0012050
C  CARDIOVASCULAR SYSTEM,C05  VASOPROTECTIVES,C05A  AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,C05AD  Local anesthetics,C05AD04,C0012050
